feature,importance
Glucose,0.2422708018889929
BMI,0.1872359560636435
Age,0.17063999669412747
DiabetesPedigreeFunction,0.10622906034087463
Pregnancies,0.08590364230113999
BloodPressure,0.077916794085489
SkinThickness,0.06737215667234936
Insulin,0.0624315919533832
