feature,importance
Glucose,0.32895134213923394
BMI,0.17955283421565452
Age,0.15976717030686413
DiabetesPedigreeFunction,0.10972207419667752
BloodPressure,0.07735585311601977
Pregnancies,0.052172891562580516
SkinThickness,0.04858045437910986
Insulin,0.04389738008385973
