,accuracy,precision,recall,f1,cv_f1_mean,cv_f1_std,true_negative,false_positive,false_negative,true_positive
Random Forest,0.7662337662337663,0.6417910447761194,0.7818181818181819,0.7049180327868853,0.8427635508163636,0.053819197790008357,75.0,24.0,12.0,43.0
Gradient Boosting,0.7142857142857143,0.5774647887323944,0.7454545454545455,0.6507936507936508,0.8024335003311591,0.06672404635527023,69.0,30.0,14.0,41.0
